Id=melecie
Title=Melecie's Magic
Description=My take on the Elemental formula, with rather complex and advanced combinations + lots of elements and categories = Melecie's Magic. Only some elements have descriptions.
Version=Beta

Light:			  #FFFFB0
Ice + Cloud = 				Snow (Frost)
Sand + Water = 				Sand (Land)
Rain + Winter = 			Snow (Frost)
Storm + Winter = 			Hail (Frost)
Darkness + Fire = 			Light (Light)
Flower + Spring = 			Bloom (Flora)
Ocean + Animal =			Fish (Fauna)
Fish + Fish = 				Shark (Fauna)
Life + Atmosphere = 		Bird (Fauna)
Bird + Bird = 				Egg (Fauna)
Egg + Time = 				Bird (Fauna)
Ocean + Animal =			Fish (Fauna)
Animal + Atmosphere =		Bird (Fauna)
Planet + Planet = 			Moon (Astral)
Sun + Planet = 				Day (Chronal)
Moon + Planet = 			Night (Chronal)
Sun + Ray = 				Sunlight (Light)
Moon + Ray = 				Moonlight (Light)
Star + Star = 				Constellation (Astral)
Sun + Moon = 				Eclipse (Astral)
Tree + Island = 			Palm (Flora)
Atmosphere + Planet = 		Gravity (Astral)
Beach + Beach = 			Desert (Landmass)
Water + Mountain = 			Waterfall (Sea)
River + Mountain =			Waterfall (Sea)
Mountain + Space = 			Cave (Landmass)
Mountain + Darkness = 		Cave (Landmass)
Island + Sky = 				Floating Island (Landmass)
Rain + Rain = 				Storm (Sea)
Earth + Space = 			Asteroid (Astral)
Asteroid + Planet = 		Moon (Astral)
Ore + Flame = 				Metal (Metallic)
Lightning + Lightning = 	Thunder (Electric)
Metal + Lightning = 		Electricity (Electric)
Rain + Sun = 				Rainbow (Sky)
Life + Jungle = 			Monkey (Fauna)
Animal + Jungle =			Monkey (Fauna)
Monkey + Evolution = 		Ape (Fauna)
Ape + Evolution = 			Human (Humanity)
Ape + Fire = 				Human (Humanity)
Thunder + Thunder = 		Lightning (Electric)
Rainbow + Rainbow = 		Double Rainbow (Sky)
Asteroid + Asteroid = 		Asteroid Belt (Astral)
Earth + Life = 				Grass (Flora)
Cave + Human = 				Home (Humanity)
Human + Human = 			Friends (Society)
Friends + Friends =			Love (Humanity)
Adult + Adult =				Baby (Humanity)
Baby + Time = 				Child (Humanity)
Child + Time = 				Adolescent (Humanity)
Adolescent + Time = 		Adult (Humanity)
Home + Bird = 				Nest (Flora)
Tree + Bird = 				Nest (Flora)
Nest + Nest = 				Stick (Flora)
Flower + Tree = 			Fruit (Food)
Fruit + Gravity = 			Apple (Food)
Fruit + Palm = 				Coconut (Food)
Day + Night = 				Sunset (Light)
Sunset + Sunset = 			Sunrise (Light)
Sunrise + Sunrise = 		Sunset (Light)
Moon + Ocean = 				Tide (Sea)
Ocean + Storm = 			Hurricane (Sea)
Beach + Sea = 				Shore (Sea)
Sand + Flame = 				Glass (Materials)
Ice + Planet = 				Winter (Chronal)
Snow + Planet = 			Winter (Chronal)
Wind + Water = 				Ice (Frost)
Snow + Snow = 				Cool (Frost)
Snow + Earth = 				Tundra (Landmass)
Heat + Cool = 				Warmth (Flame)
Air + Earth = 				Dust (Land)
Ash + Ash = 				Dust (Land)
Snow + Human = 				Snowman (Frost)
Ice + Life = 				Golem (Land)
Rock + Life = 				Golem (Land)
Wind + Wind =				Gale (Sky)
Gale + Gale = 				Tornado (Sky)
Water + Desert = 			Oasis (Sea)
Life + Desert = 			Cactus (Flora)
Day + Day = 				Noon (Chronal)
Night + Night = 			Midnight (Chronal)
Fruit + Monkey = 			Banana (Food)
Fruit + Jungle = 			Banana (Food)
Air + Volcano = 			Ash (Flame)
Time + Star = 				Black Hole (Shadow)
Star + Darkness = 			Black Hole (Shadow)
Cave + Life = 				Bat (Fauna)
Cave + Animal =				Bat (Fauna)
Rock + Rock = 				Boulder (Land)
Boulder + Boulder = 		Stone (Land)
Valley + Ocean = 			Trench (Sea)
Water + Lava = 				Stone (Land)
Water + Magma = 			Stone (Land)
Mountain + Lake = 			Continent (Landmass)
Mountain + Earth = 			Valley (Landmass)
Metal + Electricity = 		Wire (Electric)
Electricity + Electricity = Battery (Electric)
Electricity + Wind = 		Turbine (Electric)
Turbine + Wind = 			Electricity (Electric)
Flame + Flame = 			Blaze (Flame)
Blaze + Blaze = 			Inferno (Flame)
Forest + Blaze = 			Forest Fire (Flame)
Forest + Inferno = 			Forest Fire (Flame)
Jungle + Blaze = 			Forest Fire (Flame)
Jungle + Inferno =			Forest Fire (Flame)
Asteroid + Earth = 			Meteoroid (Astral)
Meteoroid + Atmosphere = 	Meteor (Land)
Meteor + Earth =			Meteorite (Land)
Metal + Water = 			Rust (Metallic)
Adult + Time = 				Elder (Humanity)
Metal + Human = 			Tool (Metallic)
Tool + Tree =				Ax (Metallic)
Tree + Ax =					Wood (Materials)
Tool + Stone = 				Pickax (Metallic)
Tool + Earth =				Shovel (Metallic)
Tool + Heat =				Thermometer (Metallic)
Tool + Cool =				Thermometer (Metallic)
Tool + Warmth = 			Thermometer (Metallic)
Sun + Star =				Galaxy (Astral)
Galaxy + Galaxy = 			Universe (Astral)
Universe + Universe =		Multiverse (Astral)
Home + Home = 				House (Construction)
House + House = 			Village (Construction)
Village + Village =			Town (Construction)
Town + Town = 				City (Construction)
City + City =				Metropolis (Construction)
City + Town =				Country (Landmass)
Country + Country =			Continent (Landmass)
Continent + Ocean =			Planet (Astral)
Fire + Earth =				Clay (Land)
Clay + Fire =				Brick (Materials)
Brick + Brick =				Wall (Construction)
Wall + Wall =				Building (Construction)
Fire + Water = 				Energy (Energy)
Building + Building = 		Village (Construction)
Rain + Snow = 				Snowflake (Frost)
Light + Rainbow =			Color (Color)
Color + Fire =				Red (Color)
Color + Water =				Blue (Color)
Color + Life =				Green (Color)
Red + Blue =				Purple (Color)
Blue + Green =				Cyan (Color)
Red + Green =				Yellow (Color)
Yellow + Red =				Orange (Color)
Purple + Red =				Magenta (Color)
Light + Color =				Black (Color)
Darkness + Color = 			White (Color)
Human + Town =				Mayor (Society)
Human + City =				Mayor (Society)
Human + Village =			Villager (Society)
Human + Universe =			Science (Sciences)
Human + Life =				Science (Sciences)
Human + Gravity =			Science (Sciences)
Universe + Science =		Astronomy (Sciences)
Earth + Science =			Geology (Sciences)
Life + Science =			Biology (Sciences)
Gravity + Science =			Physics (Sciences)
Tree + Science =			Botany (Sciences)
Science + Science =			Knowledge (Psyche)
Knowledge + Knowledge =		Wisdom (Psyche)
Science + Space =			Astronomy (Sciences)
Space + Space = 			Empty (Shadow)
Empty + Empty =				Zero (Numeral)
Zero + Zero =				Zero (Numeral)
Black Hole + Black Hole =	Wormhole (Shadow)
Wormhole + Wormhole = 		Singularity (Shadow)
Singularity + Zero =		One (Numeral)
One + One =					Two (Numeral)
Two + One =					Three (Numeral)
Three + One =				Four (Numeral)
Four + One =				Five (Numeral)
Five + One =				Six (Numeral)
Six  + One =				Seven (Numeral)
Seven + One =				Eight (Numeral)
Eight + One =				Nine (Numeral)
Nine + One =				Ten (Numeral)
Zero + Science = 			Mathematics (Numeral)
One + Science =				Mathematics (Numeral)
Mathematics + Zero =		Number (Numeral)
Mathematics + One =			Number (Numeral)
Dust + Energy = 			Magic (Magical)
Magic + Stick =				Wand (Magical)
Magic + Tool =				Wand (Magical)
Magic + Fire =				Pyromancy (Magical)
Magic + Water =				Hydromancy (Magical)
Magic + Earth =				Geomancy (Magical)
Knowledge + Human = 		Idea (Psyche)
Idea + Science = 			Theory (Sciences)
Idea + Human =				Thought (Psyche)
Thought + Science = 		Philosophy (Sciences)
Thought + Human =			Letter (Literal)
Letter + Letter =			Word (Literal)
Word + Word =				Phrase (Literal)
Phrase + Phrase =			Sentence (Literal)
Sentence + Sentence =		Paragraph (Literal)
Letter + Mathematics =		Algebra (Numeral)
Mathematics + Mathematics =	Arithmetic (Numeral)
Sea + Wind =				Wave (Sea)
Ocean + Wind =				Wave (Sea)
Wave + Light = 				Light Waves (Light)
Wave + Air =				Sound (Song)
Wave + Sound =				Sound Waves (Song)
Sound + Sound =				Music (Song)
Music + Word =				Song (Song)
Song + Word =				Lyrics (Literal)
Life + Life = 				Cell (Life)
Cell + Cell = 				Tissue (Life)
Tissue + Tissue =			Organ (Life)
Organ + Cell = 				Organelle (Life)
Organ + Organ = 			Organ System (Life)
Organ System + Organ System = Organism (Life)
Organism + Organism =		Population (Life)
Algebra + Letter =			Variable (Numeral)
Algebra + Number =			Constant (Numeral)
Time + Science = 			History (Sciences)
History + Word = 			Etymlogy (Literal)
History + Human =			Anthropology (Sciences)
Wave + Moon =				Tide (Sea)
Sea + Moon =				Tide (Sea)
Water + Lake =				River (Sea)
Sprout + Time =				Plant (Flora)
Plant + Glass =				Greenhouse (Construction)
Metal + Life =				Robot (Electric)
Robot + Knowledge =			Artificial Intelligence (Electric)
Metal + River =				Bridge (Construction)
Metal + Metal =				Alloy (Metallic)
Number + Number =			Point (Geometric)
Point + Point =				Line (Geometric)
Line + Line = 				Shape (Geometric)
Shape + Mathematics = 		Geometry (Geometric)
Shape + Zero =				Circle (Geometric)
Shape + One =				Point (Geometric)
Shape + Two =				Line (Geometric)
Shape + Three =				Triangle (Geometric)
Shape + Four = 				Quadrilateral (Geometric)
Shape + Five = 				Pentagon (Geometric)
Shape + Six = 				Hexagon (Geometric)
Shape + Seven = 			Heptagon (Geometric)
Shape + Eight =				Octagon (Geometric)
Circle + Wood = 			Wheel (Materials)
Circle + Metal =			Wheel (Materials)
House + Building =			Apartment (Construction)
Energy + Earth = 			Pressure (Energy)
Fire + Wood =				Charcoal (Land)
Fire + Tree =				Charcoal (Land)
Charcoal + Charcoal = 		Coal (Land)
Coal + Coal =				Charcoal (Land)
Coal + Pressure =			Diamond (Land)
Diamond + Human =			Riches (Society)
Magic + Stone =				Philosopher's Stone (Magical)
Philosopher's Stone + Rock = Gold (Metallic)
Gold + Human = 				Money (Humanity)
Planet + One =				Mercury [planet] (Astral)
Planet + Two =				Venus (Astral)
Planet + Three =			Earth [planet] (Astral)
Planet + Four =				Mars (Astral)
Planet + Five =				Jupiter (Astral)
Planet + Six =				Saturn (Astral)
Planet + Seven =			Uranus (Astral)
Planet + Eight =			Neptune (Astral)
Venus + Human = 			Female (Humanity)
Mars + Human =				Male (Humanity)
Love + Flower = 			Rose (Flora)
Day + Time =				Week (Chronal)
Week + Time =				Month (Chronal)
Month + Time =				Year (Chronal)
Earth + Riches =			Gemstone (Land)
Earth + Ore =				Gemstone (Land)
Earth + Diamond =			Gemstone (Land)
Rock + Riches =				Gemstone (Land)
Rock + Diamond =			Gemstone (Land)
Gemstone + Red =			Ruby (Land)
Gemstone + Blue =			Sapphire (Land)
Gemstone + Green =			Emerald (Land)
Gemstone + Purple =			Amethyst (Land)
Water + Flower =			Lily (Flora)
Sand + Beach =				Bay (Landmass)
Wheel + Wood =				Wagon (Vehicular)
Wagon + Cave =				Minecart (Vehicular)
Electricity + Science =		Technology (Sciences)
Electricity + Technology =	Machine (Electric)
Metal + Wire =				Machine (Electric)
Machine + Science =			Technology (Sciences)
Wagon + Machine =			Car (Vehicular)
Grass + Grass =				Field (Landmass)
Field + Life =				Horse (Fauna)
Field + Animal =			Horse (Fauna)
Horse + Wagon =				Carriage (Vehicular)
Building + Brick =			Castle (Construction)
Tool + Human =				Weapon (Metallic)
Weapon + Human =			Warrior (Society)
Warrior + Warrior =			Army (Society)
Army + Army =				Battle (Society)
Battle + Battle =			War (Society)
Field + Flower =			Flower Field (Landmass)
Human + Baby =				Parent (Humanity)
Parent + Human =			Child (Humanity)
Parent + Male =				Father (Humanity)
Parent + Female =			Mother (Humanity)
Child + Male =				Son (Humanity)
Child + Female = 			Daughter (Humanity)
Son + Son =					Brother (Humanity)
Daughter + Daughter =		Sister (Humanity)
Knowledge + Building =		School (Construction)
School + Human =			Teacher (Society)
Cloud + Plant =				Cotton (Flora)
Cloud + Life =				Sheep (Fauna)
Cotton + Life =				Sheep (Fauna)
Cloud + Animal =			Sheep (Fauna)
Cotton + Animal =			Sheep (Fauna)
Sheep + Tool =				Shears (Metallic)
Shears + Sheep =			Wool (Materials)
Wool + Wheel =				Thread (Materials)
Thread + Wool =				Cloth (Materials)
Cloth + Human = 			Clothes (Clothing)
Clothes + Winter =			Jacket (Clothing)
Clothes + Summer =			Swimsuit (Clothing)
Clothes + Cloth =			Shirt (Clothing)
Shirt + Skirt =				Dress (Clothing)
Clothes + Male =			Pants (Clothing)
Clothes + Female =			Skirt (Clothing)
Dress +  Dress =			Gown (Clothing)
Clothes + Water =			Swimsuit (Clothing)
Clothes + Sea =				Swimsuit (Clothing)
Clothes + Ocean = 			Diver Suit (Clothing)
Light + Technology =		Laser (Electric)
Light + Electricity =		Laser (Electric)
Human + Day =				Awake (Humanity)
Human + Night =				Sleep (Humanity)
Sleep + Tool =				Bed (Construction)
Glass + Building =			Window (Construction)
Bed + Building =			Inn (Construction)
Inn + Inn =					Hotel (Construction)
Money + Building =			Shop (Construction)
Money + Metal =				Safe (Metallic)
Riches + Metal =			Safe (Metallic)
Riches + Machine =			Safe (Metallic)
Safe + Safe =				Bank (Construction)
Safe + Building =			Bank (Construction)
Money + Money = 			Riches (Society)
One + Metal =				Gold (Metallic)
Two + Metal =				Silver (Metallic)
Three + Metal =				Bronze (Metallic)
Water + Tool =				Bucket (Metallic)
Field + Seed =				Grain (Flora)
Grain + Tool =				Scythe (Metallic)
Organism + Cell =			Bacteria (Life)
Grain + Animal =			Cow (Fauna)
Cow + Bucket =				Milk (Fauna)
Ice + Magic =				Cryomancy (Magical)
Glass + Water =				Bottle (Materials)
Bottle + Magic =			Potion (Magical)
Plant + Lake =				Reed (Flora)
Reed + Reed =				Paper (Materials)
Paper + Word =				Book (Literal)
Paper + Phrase =			Book (Literal)
Paper + Sentence =			Book (Literal)
Paper + Paragraph =			Book (Literal)
Book + Book =				Novel (Literal)
Paper + Water =				Inks (Arts)
Paper + Tool =				Pencil (Arts)
Pencil + Inks =				Pen (Arts)
Pencil + Paper =			Drawing (Arts)
Pen + Paper =				Drawing (Arts)
Drawing + Color =			Art (Arts)
Art + Word =				Poetry (Literal)
Art + Phrase =				Poetry (Literal)
Art + Sentence =			Poetry (Literal)
Lightning + Sound =			Thunder (Electric)
Thunder + Light =			Lightning (Electric)
Friends + Group =			Community (Society)
Village + Friends =			Community (Society)
Town + Friends =			Community (Society)
City + Friends =			Community (Society)
Metropolis + Friends =		Community (Society)
Community + Community =		Society (Society)
Human + Word =				Name (Literal)
Name + Name =				Noun (Literal)
Time + Glass =				Hourglass (Chronal)
Glass + Sand =				Hourglass (Chronal)
Time + Tool =				Clock (Chronal)
Day + Tool =				Calendar (Chronal)
Month + Tool =				Calendar (Chronal)
Flower + Animal =			Bee (Fauna)
Flower + Bee =				Pollination (Life)
Bee + Pollination =			Honey (Fauna)
Bee + Bee = 				Hive (Fauna)
Bird + Earth =				Ostrich (Fauna)
Bird + Egg =				Chicken (Fauna)
Energy + Human =			Food (Food)
Energy + Animal =			Food (Food)
Food + Plant =				Herbivore (Food)
Food + Animal =				Carnivore (Food)
Food + Heat =				Cook (Food)
Food + Fire =				Barbeque (Food)
Food + Coal =				Barbeque (Food)
Chicken + Egg =				Dilemma (Psyche)
Fire + Dust =				Gunpowder (Flame)
Gunpowder + Gunpowder =		Bomb (Flame)
Bomb + Fire =				Explosion (Flame)
Bomb + Wire =				Fuse (Flame)
Light + Glass =				Mirror (Light)
Mirror + Mirror = 			Lens (Light)
Mirror + Light =			Reflection (Light)
Water + Light =				Reflection (Light)
Glass + Lens =				Glasses (Light)
Light + Wire =				Lightbulb (Electric)
Cool + Machine =			Air Conditioner (Frost)
Ocean + Ice =				Iceberg (Frost)
Sea + Wood =				Boat (Vehicular)
Ocean + Wood =				Boat (Vehicular)
Boat + Boat =				Ship (Vehicular)
Ship + Ship =				Cruiser (Vehicular)
Machine + Machine =			Computer (Electric)
Mathematics + Machine =		Abacus (Numeral)
Thread + Thread =			String (Materials)
String + String =			Rope (Materials)
Rope + Wheel =				Pulley (Materials)
Stick + Stick =				Campfire (Flame)
Stick + Stone =				Lever (Materials)
Computer + Mathematics =	Calculator (Numeral)
Weapon + Metal =			Blade (Metallic)
Blade + Human =				Warrior (Society)
Gunpowder + Metal =			Bullet (Metallic)
Bullet + Machine =			Gun (Metallic)
Mathematics + Theory =		Axiom (Sciences)
Human + Time =				Death (Life)
Death + Scythe =			Grim Reaper (Shadow)
Death + Human =				Corpse (Life)
Corpse + Time =				Bone (Life)
Death + Life =				Revival (Life)
Revival + Human =			Zombie (Legendary)
Magic + Human =				Wizard (Magical)
Wizard + Female =			Witch (Magical)
Witch + Male =				Wizard (Magical)
Zombie + Magic =			Necromancy (Magical)
Tool + Sound =				Instrument (Song)
Tool + Music =				Instrument (Song)
Tool + Song =				Instrument (Song)
Instrument + Wind =			Flute (Song)
Instrument + String =		Guitar (Song)
Guitar + Stick =			Violin (Song)
Instrument + Wood =			Piano (Song)
Bone + Human =				Skeleton (Legendary)
Bone + Bone =				Skeleton (Legendary)
Animal + Darkness =			Monster (Legendary)
Monster + Fire =			Dragon (Legendary)
Organ + Sky =				Wings (Life)
Positive + Human =			Good (Psyche)
Negative + Human =			Evil (Psyche)
Good + Evil =				Morality (Psyche)
Star + Meteor =				Shooting Star (Astral)
Star + Meteoroid =			Shooting Star (Astral)
Shooting Star + Human =		Wish (Psyche)
Wish + Wish =				Dream (Psyche)
Wish + Sleep =				Dream (Psyche)
Dream + Dream =				Hope (Psyche)
Wish + Bottle =				Genie (Legendary)
Bottle + Letter =			Message in a Bottle (Sea)
Bottle + Word =				Message in a Bottle (Sea)
Bottle + Sentence =			Message in a Bottle (Sea)
Bottle + Paper =			Message in a Bottle (Sea)
Science + Glass =			Test Tube (Sciences)
Tool + Space =				Telescope (Metallic)
Nine + Life =				Cat (Fauna)
Friends + Animal =			Dog (Fauna)
Fish + Human =				Merfolk (Legendary)
Merfolk + Evil =			Siren (Legendary)
Merfolk + Song =			Siren (Legendary)
Heat + Water =				Steam (Sky)
Cool + Water =				Ice (Frost)
Heat + Ice =				Water (Sea)
Cool + Steam =				Water (Sea)
Time + Space =				Motion (Energy)
Motion + Motion =			Action (Energy)
Action + Word =				Verb (Literal)
Energy + Machine =			Fuel (Energy)
Human + Phrase =			Speech (Literal)
Human + Sentence =			Speech (Literal)
Human + Paragraph =			Speech (Literal)
Speech + Speech =			Language (Literal)
Knowledge + Action =		Memory (Psyche)
Diver Suit + Machine =		Scuba (Clothing)
Dog + Forest =				Wolf (Fauna)
Wolf + Moon =				Werewolf (Legendary)
Wolf + Human =				Werewolf (Legendary)
Society + Good =			Law (Society)
Law + Law =					Order (Society)
Society + Evil =			Crime (Society)
Crime + Crime =				Chaos (Society)
Action + Air =				Breath (Energy)
Action + Food =				Eat (Energy)
Action + Sound =			Hear (Energy)
Action + Light =			See (Energy)
Breath + Plant =			Carbon Dioxide (Sky)
Breath + Animal =			Oxygen (Sky)
Breath + Human =			Oxygen (Sky)
Oxygen + Oxygen =			Ozone (Sky)
Ozone + Ozone =				Ozone Layer (Sky)
Organ + See =				Eyes (Life)
Organ + Hear =				Ears (Life)
Organ + Breath =			Nose (Life)
Organ + Knowledge =			Brain (Life)
Organ + Wisdom =			Brain (Life)
Organ + Memory =			Brain (Life)
Organ + Love =				Heart (Life)
Organ + Eat =				Mouth (Life)
Organ + Food =				Stomach (Life)
Light + Planet =			Sun (Astral)
Darkness + Planet =			Moon (Astral)
Building + Human =			House (Construction)
House + Human =				Home (Humanity)
Fire + Stick =				Torch (Flame)
Coal + Stick =				Torch (Flame)
Charcoal + Stick =			Torch (Flame)
Human + Wings =				Fairy (Legendary)
Dust + Dust =				Powder (Land)
Knowledge + Computer =		Artificial Intelligence (Electric)
Mud + Mud =					Swamp (Land)
Swamp + Swamp =				Swampland (Landmass)
Ice + Field =				Tundra (Landmass)
Snow + Field =				Tundra (Landmass)
Mountain + Mountain =		Mountain Range (Landmass)
Boat + Paper =				Sail (Vehicular)
Boat + Wind =				Sail (Vehicular)
Ship + Paper =				Sail (Vehicular)
Ship + Wind =				Sail (Vehicular)
Boat + Gale =				Sail (Vehicular)
Ship + Gale =				Sail (Vehicular)
Electricity + Machine =		Engine (Electric)
Tree + Organ =				Leaf (Flora)
Tree + Food =				Fruit (Flora)
Swamp + Flower =			Lily (Flora)
Swampland + Flower =		Lily (Flora)
Leaf + Orange =				Autumn (Chronal)
Child + Child =				Play (Humanity)
Play + Play =				Fun (Humanity)
Drawing + Motion =			Animation (Arts)
Art + Motion =				Animation (Arts)
Fun + Computer =			Video Game (Arts)
Animation + Animation =		Movie (Arts)
Novel + Motion =			Movie (Arts)
Movie + Building =			Cinema (Construction)
Wood + Wood =				Plank (Materials)
Novel + Drawing =			Comic (Arts)
Novel + Art =				Comic (Arts)
Rainbow + Glass =			Prism (Light)
Human + Earth =				Path (Construction)
Path + Path =				Road (Construction)
Road + Road =				Street (Construction)
Street + Street =			Highway (Construction)
Blue + Human =				Sadness (Psyche)
Sadness + Sadness =			Depression (Psyche)
Sadness + Death =			Grief (Psyche)
Grief + Grief =				Denial (Psyche)
Denial + Time =				Anger (Psyche)
Anger + Time =				Bargaining (Psyche)
Bargaining + Time =			Depression (Psyche)
Depression + Time =			Acceptance (Psyche)
Yellow + Human =			Happiness (Psyche)
Dream + Darkness =			Nightmare (Psyche)
Dream + Evil =				Nightmare (Psyche)
Weapon + Ship =				Battleship (Vehicular)
Soldier + Ship =			Battleship (Vehicular)
Army + Ship =				Battleship (Vehicular)
Animal + Inks =				Squid (Fauna)
Magic + Fuel =				Mana (Magical)
Magic + Energy =			Mana (Magical)
Love + Potion =				Love Potion (Magical)
Love + Love =				Infatuation (Humanity)
Love Potion + Human =		Infatuation (Humanity)
Science + Animal =			Zoology (Sciences)
Science + Language =		Linguistics (Literal)
Campfire + Food =			Cook (Food)
Ocean + Heat =				Salt (Food)
Sea + Heat =				Salt (Food)
Salt + Water =				Saltwater (Sea)
Salt + Sea =				Saltwater (Sea)
Salt + Ocean = 				Saltwater (Sea)
Grass + Lake =				Sugarcane (Flora)
Sugarcane + Sugarcane =		Sugar (Food)
Plank + Plank =				Board (Materials)
Board + Fun =				Board Game (Arts)
Board Game + War =			Chess (Arts)
Sugar + Sugar =				Candy (Food)
Sadness + Tree =			Willow (Flora)
Plant + Wall =				Vine (Flora)
Vine + Fruit =				Grape (Food)
Grape + Water =				Wine (Food)
Fun + Fun =					Game (Arts)
Paper + Game =				Card Game (Arts)
Human + Castle =			King (Society)
Mayor + Castle =			King (Society)
King + Female =				Queen (Society)
Queen + Male =				King (Society)
King + Card Game =			Deck of Cards (Arts)
Queen + Card Game =			Deck of Cards (Arts)
Card Game + Card Game =		Deck of Cards (Arts)
Card Game + Paper =			Deck of Cards (Arts)
Deck of Cards + Human =		Gambling (Humanity)
Gambling + Gambling =		Luck (Humanity)
Gambling + Building =		Casino (Construction)
Gambling + Machine =		Slot Machine (Electric)
Seed + Tree =				Acorn (Flora)
Acorn + Tree =				Oak (Flora)
Acorn + Animal =			Squirrel (Fauna)
Crime + Sea =				Pirate (Society)
Crime + Ocean =				Pirate (Society)
Money + Gold =				Coin (Humanity)
Money + Silver =			Coin (Humanity)
Coin + Coin =				Riches (Humanity)
Steam + Air =				Mist (Sky)
Steam + Sky =				Mist (Sky)
Water + Sky =				Mist (Sky)
Mist + Mist =				Fog (Sky)
Fog + Water =				Mist (Sky)
Cloud + Sky =				Fog (Sky)
Fire + Air =				Smoke (Sky)
Smoke + Fog =				Smog (Sky)
Game + Plank =				Board Game (Arts)
Game + Computer =			Video Game (Arts)
Board + Board =				Box (Materials)
Box + Box =					Storage (Construction)
Storage + Clothes =			Pocket (Clothing)
Pocket + Computer =			Phone (Electric)
Video Game + Machine =		Console (Electric)
Video Game + Computer =		Console (Electric)
Computer + Letter =			Text (Literal)
Grain + Grain =				Wheat (Food)
White + Grain =				Rice (Food)
Yellow + Grain =			Corn (Food)
Luck + Number =				Random (Numeral)
Random + Coin =				Coin Flip (Numeral)
Circle + Circle =			Sphere (Geometric)
Quadrilateral + Quadrilateral =	Square (Geometric)
Square + Square =			Cube (Geometric)
Cube + Luck =				Dice (Numeral)
Cube + Random =				Dice (Numeral)
